model,jsd_permutation,jsd_retest_floor,normalised_order_effect,mean_entropy_bits,absolute_gap,pearson_entropy_vs_absolute_gap,pearson_entropy_vs_normalised_order_effect,pearson_entropy_vs_jsd_retest_floor
qwen3-4b-nothink,0.12844860935796878,0.07222997232648655,0.21485824130084324,4.4918159354834755,0.056218637031482235,-0.22072205472155926,0.11759270043996216,-0.583691305646582
qwen3-4b-think,0.13146875630411223,0.11428543683620232,0.08045373973274024,4.918556332995702,0.017183319467909908,-0.22072205472155926,0.11759270043996216,-0.583691305646582
qwen3-8b-nothink,0.2023050501166356,0.1692304126514548,0.1898241368602248,4.508013762695711,0.0330746374651808,-0.22072205472155926,0.11759270043996216,-0.583691305646582
qwen3-8b-think,0.1843674372417776,0.1610932885337316,0.15510369179259056,4.649684314704237,0.023274148708046005,-0.22072205472155926,0.11759270043996216,-0.583691305646582
qwen3-32b-nothink,0.290754034356224,0.25615902891867576,0.12699404282686014,4.004318195790566,0.03459500543754823,-0.22072205472155926,0.11759270043996216,-0.583691305646582
qwen3-32b-think,0.30945179994557176,0.2665540215652963,0.10619605092373124,3.9018887686113746,0.042897778380275475,-0.22072205472155926,0.11759270043996216,-0.583691305646582
medgemma-1.5-4b,0.28357571194322917,0.28153427484634136,0.028491330948254037,4.591035123510387,0.0020414370968878104,-0.22072205472155926,0.11759270043996216,-0.583691305646582
medgemma-27b,0.27122577357955546,0.24638554793475745,0.07407952929519637,3.892746868674638,0.024840225644798014,-0.22072205472155926,0.11759270043996216,-0.583691305646582
med42-8b,0.26228387686334226,0.2549770811483188,0.06369941843811604,4.198878170389174,0.007306795715023462,-0.22072205472155926,0.11759270043996216,-0.583691305646582
gpt-oss-20b,0.28655818119292437,0.2831214593223854,0.021100258426923754,4.2229512662204565,0.00343672187053895,-0.22072205472155926,0.11759270043996216,-0.583691305646582
r1-distill-32b,0.2750414065462574,0.2616131307938746,0.05165074455709323,4.5288516055389945,0.013428275752382812,-0.22072205472155926,0.11759270043996216,-0.583691305646582
